Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
69	Spectrogram 1	1	591.33	591.5623494	0	8000	0.2323	-33.3	18.32	591.33	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Phaser1
70	Spectrogram 1	1	594.3716642	596.3994404	0	8000	2.0278	-32.91	19.94	594.3717	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Upsweep1
71	Spectrogram 1	1	598.3638486	600.5053207	0	8000	2.1415	-33.01	17.02	598.3638	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Downsweep1
72	Spectrogram 1	1	603.3910437	605.4610652	0	8000	2.07	-32.94	19.11	603.391	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Upsweep2
73	Spectrogram 1	1	607.3438742	609.456141	0	8000	2.1123	-33.08	16.44	607.3439	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Downsweep2
74	Spectrogram 1	1	612.3499466	614.4410907	0	8000	2.0911	-32.95	19.31	612.3499	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Upsweep3
75	Spectrogram 1	1	616.3843762	618.4966431	0	8000	2.1123	-32.96	16.61	616.3844	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Downsweep3
76	Spectrogram 1	1	620.3871219	620.6405939	0	8000	0.2535	-33.35	18.01	620.3871	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Phaser2
77	Spectrogram 1	1	629.7162188	634.2049016	580	1080.8	4.4887	-49.27	22.34	629.7162	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Hfunstart
78	Spectrogram 1	1	645.1129317	646.6483389	143.4	470.1	1.5354	-55.57	13.94	645.1129	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_start
79	Spectrogram 1	1	647.6737013	648.7043171	159.3	709.1	1.0306	-49.73	15.47	647.6737	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P1
80	Spectrogram 1	1	634.2495193	641.046279	580	1526.5	6.7968	-50.31	18.26	634.2495	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Hfuntrill
81	Spectrogram 1	1	649.9488067	650.7221798	326.7	756.9	0.7734	-47.83	18.31	649.9488	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P2
82	Spectrogram 1	1	652.0755827	653.0571717	294.8	669.3	0.9816	-45.1	20.6	652.0756	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P3
83	Spectrogram 1	1	654.6039179	655.4219086	318.7	693.2	0.818	-50.39	19.29	654.6039	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P4
84	Spectrogram 1	1	657.1198217	657.9229399	278.9	605.5	0.8031	-49.41	16.74	657.1198	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P5
85	Spectrogram 1	1	659.9158629	660.7784713	294.8	701.1	0.8626	-47.94	19.74	659.9159	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P6
86	Spectrogram 1	1	662.7197739	663.8352159	255	669.3	1.1154	-50.9	17.34	662.7198	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P7
87	Spectrogram 1	1	665.7835212	667.107179	159.3	390.4	1.3237	-52.66	13.97	665.7835	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P8
88	Spectrogram 1	1	669.3357822	670.6743125	127.5	398.4	1.3385	-52.82	13.99	669.3358	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P9
89	Spectrogram 1	1	672.8520024	674.3987486	127.5	398.4	1.5467	-53.02	13.66	672.852	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Pmor_P10
90	Spectrogram 1	1	696.6633217	703.8565993	589.6	1381.6	7.1933	-54.83	12.57	696.6633	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Halbstart
91	Spectrogram 1	1	704.0248631	708.6941837	748.9	1593.5	4.6693	-47.29	20.71	704.0249	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Halbpeak
